ID,Question Text,Question Answer,Reference Document,Paragraph(s) Number,Keywords
Q971,"What percentage of reported MERS patients have died, and where have the largest outbreaks occurred?","Approximately 35% of reported MERS patients have died. The largest outbreaks have been seen in Saudi Arabia, the United Arab Emirates, and the Republic of Korea.",TG Booklet 6,228,"MERS Patient Mortality Rate, Largest Outbreaks, Location, Saudi Arabia, United Arab Emirates, Republic Of Korea"
Q1037,"What are the diagnostic tests for laboratory confirmation of poliomyelitis, and what specimens are required?",Diagnostic tests include the isolation of poliovirus from stool. Specimens required are stool samples collected within 14 days of the onset of paralysis.,TG Booklet 6,261,"Poliomyelitis Diagnostic Tests, Specimens, Isolation, Poliovirus, Stool Samples"
Q308,"Why is it important to observe the appropriate authorizations, clearances, and permissions during an investigation?","Section 4.1.5 emphasizes observing appropriate authorizations, clearances, ethical norms, and permissions during an investigation to ensure legal and ethical compliance. This includes official authorizations and agreements with influential community members.",TG Booklet 3,259,"Authorizations, Clearances, Permissions, Investigation, Legal Compliance, Ethical Norms"
Q1054,Compare the diagnostic tests and specimen requirements for laboratory confirmation of tuberculosis and typhoid fever.,"Tuberculosis confirmation involves microscopy for acid-fast bacilli, culture, and drug susceptibility tests. Typhoid fever is confirmed by isolating Salmonella typhi from blood or stool using culture.",TG Booklet 6,"287, 291","Diagnostic Tests, Specimen Requirements, Tuberculosis, Typhoid Fever"
Q1029,Where can additional information on plague be found?,"Additional information on plague can be found in the Plague Manual: Epidemiology, Distribution, Surveillance and Control and the Laboratory Manual of Plague Diagnostic tests.",TG Booklet 6,257,"Plague Information, Resources, Plague Manual, Laboratory Manual Of Plague Diagnostic Tests"
Q620,"What does IRC stand for, and is it explained in the TG?",International Rescue Committee,TG Booklet 6,106,International Rescue Committee
Q174,How can a histogram be used in disease surveillance?,"Histograms, developed from case reporting forms and line lists, can demonstrate an epidemic curve and highlight significant events in the outbreak timeline.",TG Booklet 2,"793, 804","Histograms In Disease Surveillance, Epidemic Curves, Significant Events"
Q39,Are all cases recorded?,"Yes, all cases ( suspected, probably or confirmed) should always be recorded in a recongnised facility register or logbook, and the IDSR reporting forms.",TG Booklet 2,160,"Suspected Case, Probable Case, Confirmed Case, Recording, Recognized Facility Register, IDSR Reporting Forms"
Q809,"What is the extent of Chikungunya cases globally in 2004, and why is it important to analyze and interpret data during outbreaks?","The extent of Chikungunya cases globally in 2004 is not provided in the text. Analyzing and interpreting data during outbreaks is important to understand the pattern, assess the impact, and implement effective control measures.",TG Booklet 6,154,Global Chikungunya Cases In 2004
Q53,What kind of analysis surveillance focal points do at the health facility or district during an outbreak?,"The surveillance focal point draws epidemic curves, checks case fatality rates, and identifies potential risk factors.",TG Booklet 2,558,"Surveillance Focal Points, Health Facility, District, Epidemic Curves, Case Fatality Rates, Risk Factors"
Q33,What are Community Case Definitions?,Community Case Definitions are usually simplified versions and use signs and symptomps that help community members to recognise when they need to refer a person for treatment and notify the health facility.,TG Booklet 2,159,"Community Case Definitions, Simplified Versions, Signs, Symptoms, Treatment, Notification, Health Facility."
Q1117,Why is tailoring IDSR to emergency contexts needed?,"Tailoring IDSR to emergency contexts is needed to improve early warning and response systems, thereby enhancing the capacity to rapidly identify and respond to health threats in emergency or fragile health system contexts.",TG Booklet 5,25,"IDSR Tailoring Necessity, Emergency Contexts, Early Warning, Response Systems, Health Threats Identification And Response"
Q303,Why is it advisable to record and manage outbreak alerts electronically?,"Section 4.1.1 recommends recording and managing outbreak alerts electronically to improve efficiency and accuracy. Electronic event management systems are suggested as a feasible option for tracking and managing suspected outbreaks, enhancing the outbreak investigation and response process.",TG Booklet 3,"216, 249","Electronic Recording, Management, Outbreak Alerts, Efficiency, Accuracy, Electronic Event Management"
Q430,Can you provide an example of parallel reporting during an outbreak?,"An example of parallel reporting might be different entities using separate reporting systems to convey information about the outbreak, leading to confusion and inefficiency in the response.",TG Booklet 3,378,"Parallel Reporting Example, Separate Reporting Systems, Outbreak Information, Confusion, Inefficiency"
Q116,How is patient confidentiality and privacy maintained during public health reporting?,"Patient confidentiality and privacy are maintained by using unique identifiers such as numbers instead of names during reporting. Identifiable data should be maintained at the health facility level, and districts need guidelines on privacy and security of health data, guided by national-level guidelines.",TG Booklet 2,655-657,"Patient Confidentiality, Privacy, Reporting, Unique Identifiers, Health Data, Guidelines"
Q633,"Is OIC an abbreviation mentioned in the TG, and what does it stand for?",Officer in Charge,TG Booklet 6,106,Officer In Charge
Q444,How does the checklist of laboratory supplies contribute to effective outbreak investigation?,"The checklist ensures that necessary supplies are available for collecting, handling, and transporting specimens safely. It promotes adherence to standard safety precautions. Having the right equipment and materials enhances the efficiency of laboratory processes, supports accurate testing, and contributes to the overall success of the outbreak investigation by providing reliable diagnostic results.",TG Booklet 3,414,"Laboratory Supplies Checklist Contribution, Effective Outbreak Investigation, Safety, Specimen Collection, Handling, Transportation, Diagnostic Testing"
